url,url,depth
https://www.infineon-autoeco.com/BBS/Detail/2957,https://www.infineon-autoeco.com/BBS/List/3,168
https://www.infineon-autoeco.com/Document/Index/2/0/0/PublishTime/desc/1,https://www.infineon-autoeco.com/Sell/List/1/2,143
https://www.infineon-autoeco.com/Shop/List,https://www.infineon-autoeco.com/Home/SiteMap,145
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/26410-Senior-Engineer-Supply-Quality-Management/,http://www.infineon-autoeco.com/bbs/detail/2092,177
http://www.infineon-autoeco.com/solution/Automotive-Hev-Ev/19/9,http://www.infineon-autoeco.com/BBS/Detail/4761,183
http://www.infineon-autoeco.com/MemberClub/Detail/3143224,http://www.infineon-autoeco.com/bbs/detail/3896,162
https://www.infineon-autoeco.com/Solution/Automotive-Safety/9,https://www.infineon-autoeco.com/Solution/Automotive-Safety/48,29
https://www.infineon-autoeco.com/Home/SiteMap,https://www.infineon-autoeco.com/Home/About/2,120
http://www.infineon-autoeco.com/require/detail/19,http://www.infineon-autoeco.com/bbs/detail/4763,158
https://www.infineon-autoeco.com/BBS/Detail/4669,https://www.infineon-autoeco.com/BBS/List/5,154
http://www.infineon-autoeco.com/MemberClub/Detail/3116651,http://www.infineon-autoeco.com/bbs/detail/3997,155
https://www.infineon-autoeco.com/Shop/Detail/117,https://www.infineon-autoeco.com/Shop/Detail/118,29
https://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/43,https://www.infineon-autoeco.com/Solution/Automotive-Others/0,10
http://www.infineon-autoeco.com/Require/Index/3/20,http://www.infineon-autoeco.com/require/detail/19,159
http://www.infineon-autoeco.com/bbs/detail/492,http://www.infineon-autoeco.com/bbs/detail/505,179
http://www.infineon-autoeco.com/Public/GetDocFile/0/223,http://www.infineon-autoeco.com/bbs/detail/2071,165
https://www.infineon-autoeco.com/BBS/Detail/3909,http://www.infineon-autoeco.com/bbs/detail/3894,161
https://www.infineon-autoeco.com/BBS/Detail/4755,https://www.infineon-autoeco.com/BBS/List/13,157
https://www.infineon-autoeco.com/KnowledgeBase/Detail/801,https://www.infineon-autoeco.com/knowledgebase/index,138
http://www.infineon.com/cms/en/about-infineon/company/contacts/,https://www.infineon-autoeco.com/News/List,122
https://www.infineon-autoeco.com/Sell/List/4/22,https://www.infineon-autoeco.com/Sell/Index,142
http://www.infineon-autoeco.com/Home/SiteMap,http://www.infineon-autoeco.com/Meeting/AURIX,144
https://www.infineon-autoeco.com/MemberClub/Detail/3114830,https://www.infineon-autoeco.com/BBS/Index,136
https://www.infineon-autoeco.com/Member/PublishRequire,https://www.infineon-autoeco.com/Home/About/4,113
https://wj.qq.com/s/2206085/aba5,http://www.infineon-autoeco.com/bbs/detail/2218,162
https://www.infineon-autoeco.com/BBS/Detail/3898,http://www.infineon-autoeco.com/bbs/detail/3894,161
http://www.infineon-autoeco.com/Solution/Automotive-Powertrain/32,http://www.infineon-autoeco.com/Require/Detail/19,130
https://www.infineon-autoeco.com/BBS/Detail/3971,http://www.infineon-autoeco.com/bbs/detail/3894,161
https://www.infineon-autoeco.com/BBS/Detail/2962,https://www.infineon-autoeco.com/BBS/List/1,166
http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/6/21,http://www.infineon-autoeco.com/meeting/Index,122
https://www.infineon-autoeco.com/Sell/List/4/25,https://www.infineon-autoeco.com/Sell/Index,142
http://www.infineon-autoeco.com/Require/Index/3/41,http://www.infineon-autoeco.com/require/detail/19,159
https://www.infineon-autoeco.com/BBS/Detail/3646,https://www.infineon-autoeco.com/BBS/List/9,164
http://www.infineon-autoeco.com/bbs/detail/3909,http://www.infineon-autoeco.com/bbs/detail/4700,162
https://www.infineon-autoeco.com/Document/Detail/201/0/0,http://www.infineon-autoeco.com/bbs/detail/2437,139
http://www.infineon-autoeco.com/KnowledgeBase/Detail/100,http://www.infineon-autoeco.com/KnowledgeBase/Detail/56,140
https://www.infineon-autoeco.com/Public/GetDocFile/1/58,http://www.infineon-autoeco.com/bbs/detail/1370,139
http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/35,http://www.infineon-autoeco.com/meeting/Index,122
https://www.infineon-autoeco.com/BBS/List/2,https://www.infineon-autoeco.com/BBS/List/1,147
https://www.infineon-autoeco.com/BBS/Detail/2220,https://www.infineon-autoeco.com/BBS/List/4,171
http://www.infineon-autoeco.com/Require/Index/2/17,http://www.infineon-autoeco.com/Require/Detail/41,126
https://www.infineon-autoeco.com/Solution/Automotive-Safety/47,https://www.infineon-autoeco.com/Member/Login,27
http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/46,http://www.infineon-autoeco.com/meeting/MeetingDetail/0?meetingtype=1,86
http://www.infineon-autoeco.com/Solution/Automotive-Safety/37,http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/5/27,124
https://www.infineon-autoeco.com/BBS/Detail/4756,https://www.infineon-autoeco.com/BBS/List/13,157
https://www.infineon-autoeco.com/BBS/Detail/3897,https://www.infineon-autoeco.com/BBS/List/5,154
https://www.infineon-autoeco.com/News/Detail/92,https://www.infineon-autoeco.com/,25
https://www.infineon-autoeco.com/MemberClub/Detail/3115367,https://www.infineon-autoeco.com/BBS/Index,136
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/26521-Account-Manager/,http://www.infineon-autoeco.com/bbs/detail/2092,177
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/22164-Distribution-Sales-Manager-Automotive/,http://www.infineon-autoeco.com/bbs/detail/2092,177
https://www.infineon-autoeco.com/BBS/Detail/4001,https://www.infineon-autoeco.com/BBS/List/8,174
http://www.infineon-autoeco.com/Public/GetDocFile/0/227,http://www.infineon-autoeco.com/bbs/detail/2098,163
http://www.infineon-autoeco.com/Public/GetDocFile/0/249,http://www.infineon-autoeco.com/bbs/detail/3044,162
https://www.infineon-autoeco.com/BBS/Detail/3899,http://www.infineon-autoeco.com/bbs/detail/3894,161
http://www.infineon-autoeco.com/MemberClub/Detail/3138779,http://www.infineon-autoeco.com/knowledgebase/detail/821,139
https://www.infineon-autoeco.com/Member/MyFavorite,https://www.infineon-autoeco.com/,25
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/22795-Engineer-Facility-Engineering/,http://www.infineon-autoeco.com/bbs/detail/2092,177
http://www.infineon.com/cms/en/product/power/linear-voltage-regulator/linear-voltage-regulator-automotive/TLE4251D/productType.html?productType=db3a304413b8b4e80113be8086b60184,http://www.infineon-autoeco.com/solution/Automotive-Hev-Ev/19/9,184
http://www.infineon-autoeco.com/Public/GetDocFile/0/222,http://www.infineon-autoeco.com/bbs/detail/2071,165
http://www.infineon-autoeco.com/Solution/Automotive-Hev-Ev/19,http://www.infineon-autoeco.com/Require/Detail/41,126
http://www.infineon-autoeco.com/BBS/Detail/4760,http://www.infineon-autoeco.com/BBS/Detail/4761,183
http://www.infineon-autoeco.com/bbs/detail/1395,http://www.infineon-autoeco.com/bbs/detail/1400,138
https://www.infineon-autoeco.com/Solution/Automotive-Powertrain/27,https://www.infineon-autoeco.com/Solution/Automotive-Powertrain/26,64
http://www.infineon-autoeco.com/bbs/detail/2222,https://www.infineon-autoeco.com/Shop/List/0,94
http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/5/27,http://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/6/21,123
https://www.infineon-autoeco.com/BBS/List/8,https://www.infineon-autoeco.com/BBS/List/4,150
http://www.iqiyi.com/w_19rsdqzivp.html,http://www.infineon-autoeco.com/bbs/detail/1370,139
http://www.infineon-autoeco.com/BBS/Detail/4761,http://www.infineon-autoeco.com/BBS/Detail/4762,182
https://www.infineon-autoeco.com/BBS/Detail/4663,http://www.infineon-autoeco.com/bbs/detail/3894,161
https://www.infineon-autoeco.com/Member/PublishSolution,https://www.infineon-autoeco.com/Require/Index/1/36,110
https://www.infineon-autoeco.com/Require/Index/3/19,https://www.infineon-autoeco.com/Require/Index/3/18,130
https://www.infineon-autoeco.com/Document/Index/6/0/0/PublishTime/desc/1,https://www.infineon-autoeco.com/Sell/List/1/2,143
https://www.infineon-autoeco.com/Require/Index/2/10,https://www.infineon-autoeco.com/Require/Index/2/9,129
https://www.infineon-autoeco.com/Solution/Automotive-Powertrain/0,https://www.infineon-autoeco.com/Solution/Automotive-Hev-Ev/0,8
http://www.infineon-autoeco.com/Require/Detail/27,http://www.infineon-autoeco.com/Require/Detail/34,132
http://www.infineon-autoeco.com/MemberClub/Detail/3139304,http://www.infineon-autoeco.com/bbs/detail/3267,170
https://www.infineon-autoeco.com/Document/Detail/210/0/0,http://www.infineon-autoeco.com/bbs/detail/3900,149
https://www.infineon-autoeco.com/Document/Detail/207/0/0,http://www.infineon-autoeco.com/bbs/detail/2437,139
https://www.infineon-autoeco.com/MemberClub/Detail/3113321,https://www.infineon-autoeco.com/BBS/Index,136
https://www.infineon-autoeco.com/Solution/Automotive-Others/0,https://www.infineon-autoeco.com/Solution/Automotive-Powertrain/0,9
http://www.infineon-autoeco.com/MemberClub/Detail/3116637,http://www.infineon-autoeco.com/bbs/detail/2162,179
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/21842-Engineer-Quality-Engineering/,http://www.infineon-autoeco.com/bbs/detail/1889,177
https://www.infineon-autoeco.com/BBS/Detail/2205,https://www.infineon-autoeco.com/BBS/List/4,171
https://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/6/21,https://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/36,23
https://www.infineon-autoeco.com/Solution/Automotive-Hev-Ev/18/89,https://www.infineon-autoeco.com/Solution/Automotive-Hev-Ev/38,53
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/24565-HMI-Application-manager/,http://www.infineon-autoeco.com/bbs/detail/2092,177
https://www.infineon-autoeco.com/MemberClub/Detail/3116637,https://www.infineon-autoeco.com/BBS/Index,136
https://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/45,https://www.infineon-autoeco.com/Solution/Automotive-Body-Convenience/44,12
https://www.infineon-autoeco.com/BBS/Detail/2291,https://www.infineon-autoeco.com/BBS/List/4,171
http://www.infineon-autoeco.com/bbs/detail/1396,http://www.infineon-autoeco.com/bbs/detail/1400,138
https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/21255-Senior-IT-Business-Analyst-for-Human-Resources/,http://www.infineon-autoeco.com/bbs/detail/2027,177
https://www.infineon-autoeco.com/Document/Detail/203/12/6,https://www.infineon-autoeco.com/,25
https://www.infineon-autoeco.com/BBS/Detail/4764,https://www.infineon-autoeco.com/BBS/List/13,155
http://www.infineon-autoeco.com/BBS/List/1,http://www.infineon-autoeco.com/bbs/detail/3904,165
