url,parenturl,depth
http://www.chcedo.com/skin/productList_100001007.htm,http://www.chcedo.com/skin/skinIndex.htm,7
http://www.chcedo.com/product/productdetail.htm?pid=11717GFPT0000012,http://www.chcedo.com/product/productdetail.htm?pid=11717GFPS0000010,10
http://www.chcedo.com/product/productdetail.htm?pid=11717GHNC0000121,http://www.chcedo.com/product/productdetail.htm?pid=15217JGNe0005973,17
http://www.chcedo.com/product/productdetail.htm?pid=15218FRMe0002260&categorytType=1,http://www.chcedo.com/makeup/productList_102004.htm,9
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR60000069,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCR60000070,82
http://www.chcedo.com/activity/activityDetail_11.htm,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/product/productdetail.htm?pid=15218FROc0004343&categorytType=1,http://www.chcedo.com/makeup/productList_102002.htm,9
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GHOi0000137",http://www.chcedo.com/bestseller/bestsellerMakeup.htm,7
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GFQo0000062",http://www.chcedo.com/bestseller/bestsellerAward.htm,8
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQq0000025,http://www.chcedo.com/article/articleMore.htm,14
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSu0000123,http://www.chcedo.com/article/articleDetail.htm?aid=,27
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQQ0000092,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQV0000105,9
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQa0000035,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQ90000033,12
http://www.chcedo.com/product/productdetail.htm?pid=11717GHJe0000029,http://www.chcedo.com/product/productdetail.htm?pid=11717GHJd0000027,9
http://www.chcedo.com/product/productdetail.htm?pid=15218FRPm0005670,http://www.chcedo.com/product/productdetail.htm?pid=15218FRN40003421,23
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSw0000127,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSw0000128,120
